No,id,nama_perusahaan,status_kepemilikan,kelompok_jasa,bidang_jasa,kemampuan_jasa,sub_kemampuan_jasa,peringkat,kategori_keberpihakan,status_audit,provinsi,kabupaten
178,1194,PT PP Presisi Tbk,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Bangunan Gedung,Jasa Pelaksana Konstruksi Bangunan Gudang Dan Industri,1,Rendah,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Timur
179,1200,PT Worley SEA Indonesia,Perusahaan Modal Asing,JASA KONSTRUKSI,Konsultansi Konstruksi,Perencanaan Konstruksi,Jasa Disain Engineering Mekanikal,2,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
180,1200,PT Worley SEA Indonesia,Perusahaan Modal Asing,JASA KONSTRUKSI,Konsultansi Konstruksi,Pengawas Konstruksi,"Jasa Pengawas Pekerjaan Konstruksi, Instalasi Proses Dan Fasilitas Industri",2,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
181,1216,PT Maju Mandiri Utama,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Pengoperasian Dan Pemeliharaan,Pengoperasian Dan Pemeliharaan Sistem Pemompaan,1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Pusat
182,1216,PT Maju Mandiri Utama,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Perbaikan Peralatan,Peralatan Pengangkatan Buatan,1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Pusat
183,1240,PT Hydrocarbon Enhancement Chemistry ,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Pengoperasian Dan Pemeliharaan,Pembersihan Tangki (Tank Cleaning),1,Tinggi,Belum Verifikasi,Jawa Barat,Bekasi
184,1248,PT Depriwangga OM,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Perbaikan Peralatan,Peralatan Penggerak Mula,3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
185,1250,PT Spektra Megah Semesta,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
186,1250,PT Spektra Megah Semesta,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Perbaikan Peralatan,Peralatan Bejana Bertekanan,3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
187,1254,PT INNOVASI MITRA NUSANTARA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Terintegrasi,Industri Manufaktur/Fabrikasi,"Penunjang Industri Minyak, Gas, Transportasi Dan Industri",1,Tinggi,Belum Verifikasi,Banten,Tangerang
